time,wind_speed,outdoor_temp,vane_position,rotor_speed_rpm,pitch_angle,turbine_altitude,blade_length,swept_area,wind_power,,,,,,,,
1/13/2015 1:50,10.43,6.46,-4.9400001,17.16,-0.72000003,96,35,3846.5,1.073627851,,,,,,,,
1/13/2015 7:50,9.6999998,7.4000001,6.8000002,17.16,-0.81,96,35,3846.5,0.863606733,,,,,,,,
1/13/2015 13:30,6.6799998,10.71,-0.94,14.87,-0.99000001,96,35,3846.5,0.282052655,,,,,,,,
1/13/2015 14:20,8.4300003,10.19,-2.45,16.83,-0.99000001,96,35,3846.5,0.566870183,,,,,,,,
1/13/2015 16:10,8.6999998,10.06,7.3000002,17.15,-0.99000001,96,35,3846.5,0.623101177,,,,,,,,
1/13/2015 18:00,10.01,8.2600002,-0.66000003,17.17,-0.57999998,96,35,3846.5,0.949080557,,,,,,,,
1/13/2015 20:30,8.4799995,6.7399998,-0.50999999,16.58,-0.97000003,96,35,3846.5,0.577016622,,,,,,,,
1/13/2015 21:10,11.08,7.5,2.27,17.08,0.039999999,96,35,3846.5,1.28712322,,,,,,,,
1/13/2015 21:30,9.1099997,7.5,5.1599998,16.860001,-0.69,96,35,3846.5,0.715411525,,,,,,,,
1/13/2015 22:10,11.47,6.1599998,3.97,17.139999,0.75,96,35,3846.5,1.427877985,,,,,,,,
1/14/2015 6:30,10.25,4.6300001,4.52,17.17,-0.28999999,96,35,3846.5,1.018995908,,,,,,,,
1/14/2015 11:20,10.78,3.4400001,3.4000001,17.15,0.050000001,96,35,3846.5,1.18537872,,,,,,,,
1/14/2015 15:50,7.4699998,4.1500001,-7.7399998,16.280001,-0.99000001,96,35,3846.5,0.394423347,,,,,,,,
1/15/2015 8:50,9.9700003,6.7800002,-0.16,17.15,-0.69999999,96,35,3846.5,0.937748457,,,,,,,,
1/15/2015 21:50,10.22,6.8000002,4.1799998,17.09,-0.51999998,96,35,3846.5,1.010074789,,,,,,,,
1/15/2015 22:50,6.8499999,6.2399998,10.19,15,-0.99000001,96,35,3846.5,0.304139298,,,,,,,,
1/16/2015 0:20,7.3699999,5.4299998,-4.2600002,15.24,-0.99000001,96,35,3846.5,0.378794173,,,,,,,,
1/16/2015 2:40,4.98,4.4899998,17.34,10.1,-0.99000001,96,35,3846.5,0.116866186,,,,,,,,
1/16/2015 5:00,3.46,3.0899999,65.269997,0.07,86.160004,96,35,3846.5,0.039194862,,,,,,,,
1/16/2015 20:00,5.3400002,2.95,2.3099999,11.55,-0.99000001,96,35,3846.5,0.144086955,,,,,,,,
1/17/2015 0:20,5.6399999,2.9100001,-0.40000001,12.55,-0.99000001,96,35,3846.5,0.169761081,,,,,,,,
1/17/2015 1:20,5.8000002,3.55,6.1300001,12.39,-0.99000001,96,35,3846.5,0.184622603,,,,,,,,
1/17/2015 10:50,5.04,2.55,10.44,10.77,-0.99000001,96,35,3846.5,0.121141362,,,,,,,,
1/17/2015 20:30,6.3899999,1.47,-6.0999999,14.35,-0.99000001,96,35,3846.5,0.246889942,,,,,,,,
1/17/2015 21:10,6.0700002,1.6,-4.27,13.74,-0.99000001,96,35,3846.5,0.211624995,,,,,,,,
1/17/2015 22:10,6.6700001,1.49,0.37,14.63,-0.99000001,96,35,3846.5,0.280787885,,,,,,,,
1/18/2015 8:30,5.0999999,1.2,-15.85,9.7399998,-0.99000001,96,35,3846.5,0.125519542,,,,,,,,
1/18/2015 17:50,5.7399998,0.94999999,-8.5200005,12.53,-0.99000001,96,35,3846.5,0.178951967,,,,,,,,
1/18/2015 22:50,4.21,0.75999999,9.5699997,9.5600004,-0.99000001,96,35,3846.5,0.070606898,,,,,,,,
1/18/2015 23:50,4.8600001,0.40000001,19.4,10.2,-0.99000001,96,35,3846.5,0.10861997,,,,,,,,
1/19/2015 6:30,5.8400002,0.56,8.6199999,12.67,-0.99000001,96,35,3846.5,0.188468785,,,,,,,,
